year,engine,constructorId
2010,Renault,9
2010,Mercedes,1
2010,Ferrari,6
2010,Mercedes,131
2010,Renault,4
2010,Cosworth,3
2010,Mercedes,10
2010,Ferrari,15
2010,Ferrari,5
2010,Cosworth,205
2010,Cosworth,164
2010,Cosworth,166
2011,Renault,9
2011,Mercedes,1
2011,Ferrari,6
2011,Mercedes,131
2011,Renault,4
2011,Mercedes,10
2011,Ferrari,2
2011,Ferrari,5
2011,Cosworth,3
2011,Renault,205
2011,Cosworth,164
2011,Cosworth,166
2012,Renault,9
2012,Ferrari,6
2012,Mercedes,1
2012,Renault,205
2012,Mercedes,131
2012,Mercedes,2
2012,Ferrari,10
2012,Ferrari,3
2012,Renault,5
2012,Renault,207
2012,Cosworth,206
2012,Cosworth,164
2013,Renault,9
2013,Mercedes,131
2013,Ferrari,6
2013,Renault,205
2013,Mercedes,1
2013,Mercedes,10
2013,Ferrari,2
2013,Ferrari,5
2013,Renault,3
2013,Cosworth,206
2013,Renault,207
2014,Mercedes,131
2014,Renault,9
2014,Mercedes,3
2014,Ferrari,6
2014,Mercedes,1
2014,Mercedes,10
2014,Renault,5
2014,Renault,205
2014,Ferrari,206
2014,Ferrari,2
2014,Renault,207
2015,Mercedes,131
2015,Ferrari,6
2015,Mercedes,3
2015,Renault,9
2015,Mercedes,10
2015,Mercedes,205
2015,Renault,5
2015,Ferrari,2
2015,Honda,1
2015,Ferrari,209
2016,Mercedes,131
2016,TAG Heuer,9
2016,Ferrari,6
2016,Mercedes,10
2016,Mercedes,3
2016,Honda,1
2016,Ferrari,5
2016,Ferrari,210
2016,Renault,4
2016,Ferrari,2
2016,Mercedes,206
2017,Mercedes,131
2017,Ferrari,6
2017,TAG Heuer,9
2017,Mercedes,10
2017,Mercedes,3
2017,Renault,4
2017,Renault,5
2017,Ferrari,210
2017,Honda,1
2017,Ferrari,2
2018,Mercedes,131
2018,Ferrari,6
2018,TAG Heuer,9
2018,Renault,4
2018,Ferrari,210
2018,Renault,1
2018,Mercedes,10
2018,Ferrari,2
2018,Honda,5
2018,Mercedes,3
2019,Mercedes,131
2019,Ferrari,6
2019,Honda,9
2019,Renault,1
2019,Renault,4
2019,Honda,5
2019,Mercedes,211
2019,Ferrari,51
2019,Ferrari,210
2019,Mercedes,3
2020,Mercedes,131
2020,Honda,9
2020,Renault,1
2020,Mercedes,211
2020,Renault,4
2020,Ferrari,6
2020,Honda,213
2020,Ferrari,51
2020,Ferrari,210
2020,Mercedes,3
2021,Mercedes,131
2021,Honda,9
2021,Ferrari,6
2021,Mercedes,1
2021,Renault,214
2021,Honda,213
2021,Mercedes,117
2021,Mercedes,3
2021,Ferrari,51
2021,Ferrari,210
2022,Honda RBPT,9
2022,Ferrari,6
2022,Mercedes,131
2022,Renault,214
2022,Mercedes,1
2022,Ferrari,51
2022,Mercedes,117
2022,Ferrari,210
2022,Honda RBPT,213
2022,Mercedes,3
2023,Honda RBPT,9
2023,Mercedes,131
2023,Ferrari,6
2023,Mercedes,1
2023,Mercedes,117
2023,Renault,214
2023,Mercedes,3
2023,Honda RBPT,213
2023,Ferrari,51
2023,Ferrari,210