driverId,raceId,restart,year
16,846,yes,2011
1,846,yes,2011
153,846,no,2011
808,846,no,2011
813,885,no,2013
820,885,yes,2013
8,908,no,2014
13,908,no,2014
155,908,yes,2014
824,914,no,2014
4,948,no,2016
821,948,no,2016
837,948,no,2016
825,960,no,2016
8,960,no,2016
835,960,no,2016
844,1038,no,2020
832,1039,no,2020
849,1039,no,2020
825,1039,no,2020
841,1039,no,2020
839,1039,no,2020
840,1039,no,2020
154,1045,no,2020
822,1053,no,2021
847,1053,no,2021
830,1057,no,2021
1,1061,yes,2021
830,1061,no,2021
822,1062,no,2021
846,1062,no,2021
830,1062,yes,2021
815,1062,no,2021
840,1062,no,2021
817,1062,yes,2021
844,1062,no,2021
854,1072,no,2021
844,1072,yes,2021
853,1072,no,2021
815,1072,no,2021
847,1072,no,2021
854,1080,no,2022
842,1083,yes,2022
847,1083,no,2022
855,1083,no,2022
852,1083,yes,2022
839,1083,yes,2022
848,1083,no,2022
20,1083,yes,2022
832,1092,no,2022
848,1092,no,2022
848,1100,no,2022
825,1100,no,2022
858,1100,no,2023
856,1100,no,2023
839,1100,no,2023
842,1100,no,2023
855,1111,no,2023
825,1117,no,2023
848,1118,no,2023
825,1118,no,2023