year,raceId,circuitId,lap,R,incident
2011,846,6,72,R,crash
2011,847,7,25,R,rain
2012,861,2,9,R,rain
2013,885,6,46,R,crash
2014,908,9,1,R,crash
2014,914,22,2,R,torrential rain
2014,914,22,46,N,fatal crash
2016,948,1,18,R,crash
2016,960,13,9,R,crash
2016,967,18,21,R,rain
2016,967,18,28,R,rain
2017,976,73,22,R,debris
2020,1038,14,27,R,crash
2020,1039,76,9,R,crash
2020,1039,76,46,R,crash
2020,1045,3,1,R,crash
2021,1053,21,33,R,crash
2021,1057,73,48,R,crash
2021,1061,9,2,R,crash
2021,1062,11,2,R,crash
2021,1063,13,3,N,rain
2021,1072,77,13,R,crash
2021,1072,77,15,R,crash
2022,1080,6,30,S,crash
2022,1083,9,1,R,crash
2022,1092,22,2,S,rain
2023,1100,1,8,R,crash
2023,1100,1,55,R,crash
2023,1100,1,57,R,crash
2023,1111,13,64,R,rain
2023,1117,32,34,R,crash
2023,1118,18,2,R,crash